,First Name,Last Name,Age,Number children,Degree,Experience,Years of unemployment,Working environment
1129,Isabella,Anderson,50,3,high school diploma,9,3,Worker
1130,Brooke,Smith,44,3,high school diploma,15,5,Generic
1131,Belinda,Phillips,43,0,high school diploma,15,1,Generic
1132,Reid,Harper,45,1,three-year degree,7,9,Instruction
1133,Sienna,Stevens,44,3,three-year degree,3,15,healthcare
1134,Lyndon,Farrell,44,0,high school diploma,9,7,Worker
1135,Lucy,Cole,41,1,master degree,12,9,healthcare
1136,Patrick,Thomas,45,3,high school diploma,7,5,Generic
1137,Roland,Cole,43,2,three-year degree,12,7,healthcare
1138,Lydia,Brown,49,2,three-year degree,12,12,healthcare
1139,Penelope,Spencer,45,3,high school diploma,12,9,Generic
1140,Lilianna,Brown,44,2,high school diploma,9,9,Economic
1141,Lyndon,Thompson,44,3,high school diploma,9,5,Economic
1142,Amy,Stevens,46,0,three-year degree,9,7,Instruction
1143,Carlos,Alexander,44,0,master degree,9,7,Economic
1144,Violet,Phillips,40,0,compulsory school,9,1,Worker
1145,Naomi,Wilson,40,1,three-year degree,15,5,Instruction
1146,Tess,Reed,40,2,high school diploma,15,7,Generic
1147,Alexia,Murphy,50,1,high school diploma,9,9,Generic
1148,Carlos,Crawford,48,3,master degree,15,3,Economic
1149,Daryl,Thompson,40,3,high school diploma,9,5,Generic
1150,Melanie,Parker,43,1,compulsory school,5,3,Generic
1151,Jack,Ryan,50,3,master degree,9,5,Informatics
1152,Tess,Edwards,50,3,high school diploma,9,9,Economic
1153,Henry,Kelley,42,3,high school diploma,12,7,Worker
1154,Edward,Wright,47,0,high school diploma,5,9,Economic
1155,Agata,Payne,44,3,high school diploma,12,1,Generic
1156,Roland,Barrett,50,3,three-year degree,5,5,Economic
1157,Reid,Nelson,44,1,high school diploma,20,9,Generic
1158,Sydney,Sullivan,41,0,high school diploma,15,9,Generic
1159,Stella,Reed,46,3,high school diploma,15,15,Generic
1160,Fiona,Foster,46,1,master,9,7,healthcare
1161,Agata,Mitchell,42,0,three-year degree,12,7,healthcare
1162,Daryl,Lloyd,50,0,master degree,9,7,healthcare
1163,Adrianna,Dixon,47,1,high school diploma,12,7,Economic
1164,Daniel,Rogers,48,0,high school diploma,7,5,Generic
1165,Lyndon,Kelley,50,2,high school diploma,1,15,Worker
1166,Henry,Roberts,45,0,high school diploma,12,3,Generic
1167,Valeria,Johnston,41,0,three-year degree,9,12,Economic
1168,Amber,Miller,46,3,compulsory school,7,7,Worker
1169,Belinda,Riley,47,1,high school diploma,12,9,Economic
1170,Jessica,Murphy,47,2,three-year degree,12,12,Economic
1171,Chelsea,Bennett,42,2,three-year degree,15,3,Instruction
1172,Ted,Holmes,40,1,high school diploma,9,9,Informatics
1173,Amanda,Ross,49,0,high school diploma,5,7,Generic
1174,Jordan,Farrell,40,0,three-year degree,9,7,Economic
1175,Lilianna,Harper,40,0,high school diploma,9,5,Worker
1176,Mike,Warren,41,0,compulsory school,7,5,Generic
1177,Carlos,Morrison,49,0,three-year degree,5,0,Informatics
1178,Julia,Nelson,40,3,high school diploma,12,3,Worker
1179,Edgar,Nelson,46,0,high school diploma,12,3,Generic
1180,Charlie,Williams,40,2,high school diploma,1,15,Worker
1181,Kevin,Perkins,48,3,three-year degree,15,15,Instruction
1182,Leonardo,Thomas,46,1,high school diploma,12,3,Generic
1183,Annabella,Reed,41,0,high school diploma,9,7,Generic
1184,Amanda,Wells,50,3,high school diploma,15,9,Generic
1185,Aida,Edwards,47,3,high school diploma,12,1,Economic
1186,Rubie,Brown,41,2,Ph.D,12,7,Instruction
1187,Eleanor,Cunningham,41,3,high school diploma,9,5,Generic
1188,Alen,Foster,48,2,high school diploma,12,12,Instruction
1189,John,Harper,49,2,high school diploma,15,3,Generic
1190,Darcy,Rogers,48,3,high school diploma,12,3,Informatics
1191,Owen,Kelley,45,2,three-year degree,12,3,healthcare
1192,Chester,Richards,40,2,master,12,15,Economic
1193,Adrian,Cameron,47,2,high school diploma,1,5,Instruction
1194,James,Smith,49,1,high school diploma,12,5,Generic
1195,Emily,Spencer,48,3,compulsory school,15,3,Generic
1196,Jessica,Hunt,42,0,compulsory school,15,3,Generic
1197,Kevin,Andrews,43,1,high school diploma,3,9,Generic
1198,Adelaide,Myers,44,3,high school diploma,12,1,Instruction
1199,Carl,Owens,49,3,three-year degree,20,1,Informatics
1200,David,Morris,41,1,master degree,9,3,Instruction
1201,Edith,Baker,46,0,master degree,5,5,Instruction
1202,Sofia,Robinson,45,1,high school diploma,9,7,Generic
1203,Daisy,Bailey,44,1,high school diploma,9,0,Generic
1204,Fenton,Bennett,42,3,high school diploma,15,9,Generic
1205,Alissa,Barnes,45,1,Ph.D,12,5,Economic
1206,Ellia,Harris,44,1,master degree,7,20,healthcare
1207,Jacob,Johnson,49,2,master degree,12,3,healthcare
1208,Olivia,Perkins,40,1,high school diploma,15,9,Generic
1209,Belinda,Perkins,43,0,three-year degree,12,5,Instruction
1210,Tony,Martin,41,0,high school diploma,9,9,Generic
1211,William,Holmes,50,1,high school diploma,12,1,Generic
1212,Alissa,Martin,48,1,high school diploma,9,1,Generic
1213,Alina,Hawkins,42,1,high school diploma,9,3,Generic
1214,Aston,Ellis,48,3,high school diploma,12,3,Generic
1215,Annabella,Nelson,43,0,three-year degree,12,12,Economic
1216,Savana,Johnson,41,3,three-year degree,12,20,healthcare
1217,Miranda,Miller,45,2,master degree,20,3,Instruction
1218,Myra,Stevens,50,3,high school diploma,12,7,Worker
1219,Maximilian,Parker,50,2,high school diploma,9,12,Worker
1220,Aida,Perkins,41,2,three-year degree,12,5,Informatics
1221,Alen,Nelson,42,1,high school diploma,9,1,Generic
1222,Carina,Allen,45,2,high school diploma,0,3,Generic
1223,Leonardo,Dixon,49,0,high school diploma,20,7,Instruction
1224,Jenna,Hamilton,45,1,three-year degree,12,3,Economic
1225,Dexter,Crawford,41,0,high school diploma,7,3,Worker
1226,Kristian,Taylor,47,1,high school diploma,9,3,Generic
1227,William,Miller,50,2,three-year degree,5,12,Informatics
1228,Lilianna,Gibson,40,2,high school diploma,7,3,Generic
1229,Edwin,Craig,45,0,high school diploma,12,7,Worker
1230,Lucas,Hunt,43,0,three-year degree,15,3,Informatics
1231,Martin,West,45,3,three-year degree,12,3,healthcare
1232,Fiona,Edwards,45,1,high school diploma,15,3,Generic
1233,Arianna,Morris,42,2,Ph.D,12,7,healthcare
1234,Audrey,Mitchell,50,2,high school diploma,12,7,Economic
1235,Roman,Stewart,40,3,Ph.D,15,7,Informatics
1236,Amber,Thompson,47,0,high school diploma,12,1,Worker
1237,Maria,Douglas,42,3,high school diploma,9,3,Generic
1238,James,Stevens,40,3,three-year degree,9,9,Instruction
1239,William,Henderson,50,0,high school diploma,3,0,Worker
1240,Heather,Barrett,40,1,high school diploma,20,3,Economic
1241,Dale,Turner,50,0,high school diploma,20,3,Informatics
1242,Jordan,Hill,49,0,compulsory school,12,7,Worker
1243,Dexter,Tucker,48,0,high school diploma,15,9,Worker
1244,Ellia,Casey,43,0,master degree,15,5,healthcare
1245,Maya,Higgins,48,2,master degree,15,7,Instruction
1246,Adison,Elliott,41,0,three-year degree,9,15,Informatics
1247,Carina,Cooper,40,1,three-year degree,9,15,Informatics
1248,Aiden,Casey,43,3,high school diploma,15,7,Worker
1249,Justin,Reed,41,2,master degree,12,7,Informatics
1250,Tyler,Payne,50,3,compulsory school,12,3,Worker
1251,Charlie,Montgomery,47,3,high school diploma,15,20,Generic
1252,Frederick,Richards,43,0,three-year degree,12,15,healthcare
1253,Belinda,Gray,48,3,master degree,12,0,Informatics
1254,Rosie,Douglas,50,0,high school diploma,12,3,Generic
1255,Charlie,Campbell,42,0,high school diploma,9,7,Economic
1256,Joyce,Harrison,41,2,high school diploma,12,7,Generic
1257,Garry,Andrews,50,3,master degree,9,12,healthcare
1258,Carlos,Stewart,43,3,high school diploma,9,9,Generic
1259,Alan,Johnston,47,1,high school diploma,9,9,Generic
1260,Patrick,Cameron,48,1,master degree,12,3,Informatics
1261,Agata,Hamilton,50,1,three-year degree,5,3,Instruction
1262,John,Henderson,42,0,high school diploma,12,7,Generic
1263,Tony,Montgomery,40,0,master degree,12,3,healthcare
1264,Connie,Reed,46,0,three-year degree,7,5,Informatics
1265,Kelvin,Chapman,48,3,master degree,1,7,Informatics
1266,Brooke,Wright,48,3,high school diploma,1,3,Worker
1267,Aiden,Watson,42,1,high school diploma,15,5,Generic
1268,Adrian,Gibson,42,3,master degree,15,1,Informatics
1269,Arnold,Turner,50,0,high school diploma,5,5,Generic
1270,Daryl,Stevens,50,0,three-year degree,7,5,Informatics
1271,Abigail,Perry,40,1,high school diploma,1,7,Generic
1272,Cherry,Owens,48,0,high school diploma,3,1,Instruction
1273,Maddie,Roberts,40,3,high school diploma,12,7,Generic
1274,Aldus,Ryan,40,2,master degree,9,9,Instruction
1275,Harold,Brooks,46,3,high school diploma,12,3,Generic
1276,Ashton,Murphy,45,3,high school diploma,9,3,Generic
1277,David,Lloyd,50,0,master degree,7,9,healthcare
1278,Emily,Kelly,43,2,high school diploma,12,9,Generic
1279,Melissa,Murphy,42,0,high school diploma,9,12,Generic
1280,Owen,Russell,44,3,high school diploma,3,7,Generic
1281,Maya,Alexander,41,0,Ph.D,7,5,healthcare
1282,Lana,Myers,49,3,high school diploma,7,3,Worker
1283,Sydney,Ross,40,3,master degree,12,3,Economic
1284,Walter,Adams,50,1,three-year degree,9,3,Economic
1285,Adelaide,Howard,49,1,compulsory school,12,9,Worker
1286,Gianna,Alexander,45,2,high school diploma,9,3,Worker
1287,Nicole,Edwards,44,3,three-year degree,12,7,Instruction
1288,Tess,Cole,47,0,three-year degree,12,9,healthcare
1289,Joyce,Foster,48,0,three-year degree,12,15,healthcare
1290,Edith,Evans,50,0,high school diploma,9,7,Economic
1291,Tara,Davis,46,0,three-year degree,12,5,Informatics
1292,Reid,Dixon,41,2,three-year degree,7,1,Instruction
1293,Anna,Casey,48,2,high school diploma,12,1,Worker
1294,Kate,Henderson,41,2,compulsory school,9,7,Worker
1295,Honey,Elliott,47,3,three-year degree,15,3,Economic
1296,Kristian,Dixon,41,2,master degree,9,3,Instruction
1297,Fenton,Cunningham,47,0,high school diploma,7,5,Generic
1298,Cadie,Stevens,45,1,three-year degree,12,3,Economic
1299,Edward,Ellis,44,3,high school diploma,9,0,Informatics
1300,Madaline,Turner,48,1,high school diploma,3,3,Worker
1301,Grace,Cooper,41,0,master degree,7,12,Economic
1302,Edwin,Roberts,41,0,three-year degree,9,5,Economic
1303,Arnold,Allen,50,1,Ph.D,12,5,healthcare
1304,Jared,Armstrong,47,3,high school diploma,15,12,Informatics
1305,Max,West,49,3,master degree,9,7,Instruction
1306,Roland,Sullivan,43,0,master degree,12,5,Instruction
1307,Myra,Hawkins,40,2,high school diploma,9,7,Generic
1308,Dexter,Morrison,46,3,high school diploma,20,5,Generic
1309,Maria,Barrett,45,2,high school diploma,12,7,Economic
1310,Richard,Cole,49,2,master,20,7,Economic
1311,Elise,Hawkins,49,1,compulsory school,9,3,Worker
1312,Vivian,Perry,42,2,high school diploma,12,15,Generic
1313,Clark,Ross,50,2,high school diploma,12,5,Generic
1314,Valeria,Armstrong,42,1,compulsory school,7,7,Generic
1315,Alexander,Thomas,47,1,high school diploma,15,15,Generic
1316,Paul,Richardson,47,0,master degree,12,3,Informatics
1317,Edgar,Bennett,48,1,high school diploma,9,12,Generic
1318,Paige,Farrell,48,0,master degree,9,12,Instruction
1319,Alberta,Bailey,43,0,three-year degree,3,5,Informatics
1320,Maximilian,Rogers,42,2,compulsory school,9,0,Generic
1321,Isabella,Parker,42,3,three-year degree,12,12,healthcare
1322,Jack,Harrison,50,3,high school diploma,9,7,Generic
1323,Jared,Riley,41,3,master degree,7,9,Informatics
1324,Heather,Taylor,41,3,master,12,9,Economic
1325,Sofia,Moore,43,0,high school diploma,15,5,Generic
1326,George,Evans,47,3,high school diploma,9,7,Generic
1327,Max,Grant,49,3,master,7,9,Economic
1328,Isabella,Williams,42,3,high school diploma,15,9,Economic
1329,Naomi,Williams,44,2,high school diploma,12,15,Generic
1330,Valeria,Holmes,41,3,high school diploma,12,12,Generic
1331,Richard,Campbell,48,3,high school diploma,7,5,Generic
1332,Sam,Moore,44,1,three-year degree,7,3,Informatics
1333,Ted,Williams,46,3,three-year degree,9,15,Informatics
1334,Vivian,Wells,49,3,compulsory school,20,7,Worker
1335,Lilianna,Chapman,45,2,master,9,7,Informatics
1336,Tess,Fowler,48,2,three-year degree,12,12,Instruction
1337,Andrew,Taylor,47,3,three-year degree,9,7,Economic
1338,Fenton,Hill,40,0,three-year degree,12,1,healthcare
1339,Adam,Anderson,42,2,high school diploma,12,9,Generic
1340,Henry,Hunt,49,2,three-year degree,9,7,Economic
1341,Kimberly,Morrison,47,0,three-year degree,12,3,Economic
1342,Kirsten,Mitchell,50,3,three-year degree,12,7,Economic
1343,Oscar,Scott,41,3,three-year degree,12,7,Economic
1344,Adele,Davis,46,0,master degree,5,3,Instruction
1345,Penelope,Harper,43,3,high school diploma,15,3,Generic
1346,Heather,Spencer,50,2,high school diploma,9,3,Generic
1347,Amber,Perry,49,2,master,9,3,Informatics
1348,Naomi,Martin,43,3,three-year degree,12,9,Economic
1349,Bruce,Taylor,48,3,high school diploma,12,7,Economic
1350,Leonardo,Adams,44,2,high school diploma,1,9,Informatics
1351,Spike,Douglas,43,1,high school diploma,12,1,Economic
1352,Anna,Howard,42,0,three-year degree,9,3,healthcare
1353,Brianna,Sullivan,50,2,master degree,9,3,Instruction
1354,Maria,Bailey,43,2,high school diploma,15,9,Generic
1355,Kate,Howard,50,2,high school diploma,7,7,Worker
1356,Chloe,Thomas,49,0,high school diploma,9,15,Generic
1357,Vincent,Johnson,45,0,master degree,12,3,Instruction
1358,Lilianna,Moore,43,2,high school diploma,12,15,Generic
1359,Madaline,Armstrong,44,0,high school diploma,12,15,Generic
1360,Dominik,Hill,50,3,high school diploma,12,12,Informatics
1361,Samantha,Mason,41,0,high school diploma,12,5,Economic
1362,Stella,Anderson,41,1,compulsory school,15,3,Generic
1363,Miley,Cameron,42,1,high school diploma,5,3,Economic
1364,Stella,Cunningham,46,0,compulsory school,12,12,Worker
1365,Lydia,Clark,49,3,master degree,15,7,Instruction
1366,Melanie,Andrews,48,2,high school diploma,1,3,Generic
1367,Paul,Craig,44,2,high school diploma,9,5,Generic
1368,Paul,Alexander,50,1,compulsory school,15,9,Generic
1369,Connie,Perry,46,3,three-year degree,7,3,Instruction
1370,Kate,Anderson,43,1,three-year degree,9,9,Informatics
1371,Camila,Myers,42,1,high school diploma,9,12,Informatics
1372,Sydney,Johnson,48,1,high school diploma,9,3,Generic
1373,Amelia,Hill,49,2,three-year degree,9,9,Economic
1374,Adam,Harper,48,2,compulsory school,15,9,Generic
1375,Samantha,Johnston,49,3,high school diploma,12,12,Generic
1376,Carlos,Payne,50,3,high school diploma,15,5,Generic
1377,Aston,Carter,47,3,high school diploma,15,5,Generic
1378,Martin,Gray,45,1,high school diploma,9,20,Generic
1379,Violet,Evans,40,0,high school diploma,9,9,Economic
1380,Alford,Warren,43,3,high school diploma,15,7,Generic
1381,Lucas,Crawford,48,0,master degree,12,7,Informatics
1382,Antony,Parker,41,3,high school diploma,3,5,Generic
1383,Richard,Adams,44,1,three-year degree,12,9,Informatics
1384,Catherine,Nelson,50,1,high school diploma,9,3,Generic
1385,Emma,Fowler,45,3,master degree,9,7,healthcare
1386,Miranda,Cunningham,44,3,compulsory school,9,9,Worker
1387,Arianna,Allen,46,3,master,9,7,Economic
1388,Ned,Hill,40,2,high school diploma,9,15,Generic
1389,Heather,Fowler,49,2,high school diploma,7,1,Generic
1390,Marcus,Morgan,42,1,three-year degree,0,7,Economic
1391,Belinda,Allen,48,0,high school diploma,12,15,Generic
1392,Charlie,Dixon,43,2,three-year degree,9,1,Economic
1393,Lenny,Davis,47,0,master,15,1,healthcare
1394,Jessica,Moore,48,3,high school diploma,9,1,healthcare
1395,Kimberly,Evans,49,1,high school diploma,5,3,Generic
1396,Alan,Wright,45,2,three-year degree,9,12,Instruction
1397,Thomas,Perkins,40,3,master degree,0,5,Informatics
1398,Paul,Ryan,49,0,three-year degree,9,3,Instruction
1399,Abraham,Holmes,40,2,master,20,7,healthcare
1400,Ned,Campbell,45,0,high school diploma,9,1,Generic
1401,Emma,Alexander,47,2,high school diploma,12,5,Generic
1402,Alisa,Morgan,46,2,three-year degree,12,7,Economic
1403,Emily,Adams,41,0,master degree,3,15,Economic
1404,George,Roberts,42,3,compulsory school,7,5,Worker
1405,Samantha,Adams,43,0,compulsory school,9,5,Generic
1406,Sienna,Roberts,44,0,high school diploma,7,15,Generic
1407,Henry,Clark,41,3,high school diploma,9,5,Generic
1408,Alford,Scott,47,3,three-year degree,9,12,Instruction
1409,Violet,Campbell,45,1,high school diploma,12,7,Worker
1410,Nicole,Kelly,46,3,compulsory school,12,5,Worker
1411,Catherine,Harper,41,2,high school diploma,9,3,Generic
1412,Daisy,Scott,46,1,high school diploma,9,3,Generic
1413,Fenton,Watson,45,1,high school diploma,12,12,Generic
1414,Roland,Nelson,41,2,master degree,12,3,Instruction
1415,Julian,Carter,44,1,high school diploma,15,15,Generic
1416,Carina,Roberts,46,2,high school diploma,9,3,Generic
1417,Alford,Allen,50,0,high school diploma,7,3,Worker
1418,Rebecca,Moore,45,0,master,9,3,Informatics
1419,Annabella,Morris,49,1,high school diploma,3,0,Generic
1420,Wilson,Alexander,46,0,three-year degree,9,7,Instruction
1421,Lilianna,Douglas,44,0,high school diploma,7,15,Generic
1422,Adelaide,Miller,44,0,compulsory school,9,5,Generic
1423,Fiona,Spencer,42,0,three-year degree,15,5,Instruction
1424,Sydney,Davis,40,2,compulsory school,15,15,Worker
1425,Adrianna,Alexander,49,3,master degree,7,3,healthcare
1426,Mary,Williams,45,3,high school diploma,12,3,Worker
1427,Adelaide,Richardson,43,0,high school diploma,15,3,Generic
1428,James,Williams,47,0,high school diploma,15,5,Generic
1429,Kelvin,Bailey,48,2,master,5,7,Informatics
1430,Charlie,Crawford,48,1,high school diploma,7,3,Generic
1431,Amber,Nelson,47,0,high school diploma,9,1,Generic
1432,Melanie,Stevens,43,2,three-year degree,20,3,Instruction
1433,Carl,Murray,42,3,three-year degree,20,7,Informatics
1434,Vanessa,Hall,45,3,three-year degree,12,5,Economic
1435,Darcy,Andrews,48,2,high school diploma,5,1,Instruction
1436,Agata,Carroll,42,2,high school diploma,9,3,Generic
1437,Arianna,Smith,48,2,high school diploma,12,3,Worker
1438,Kirsten,Miller,49,2,three-year degree,12,9,Informatics
1439,Julian,Scott,45,3,high school diploma,7,9,Generic
1440,Sienna,Wells,45,2,high school diploma,9,3,Generic
1441,Alan,Harper,41,2,high school diploma,20,3,Worker
1442,Albert,Perkins,45,0,high school diploma,12,3,Generic
1443,Owen,Perry,44,0,master degree,7,9,Informatics
1444,Camila,Perry,47,2,high school diploma,12,0,Economic
1445,Lana,Payne,43,3,three-year degree,12,7,healthcare
1446,Catherine,Andrews,42,1,three-year degree,9,15,Instruction
1447,Charlie,Elliott,46,2,master degree,12,15,Informatics
1448,William,Ryan,46,1,high school diploma,9,7,Worker
1449,Valeria,Murray,50,3,high school diploma,12,7,Generic
1450,Ned,Henderson,48,3,high school diploma,9,15,Generic
1451,Oliver,Casey,46,0,three-year degree,12,9,Economic
1452,Gianna,Miller,46,0,high school diploma,9,5,Generic
1453,Amy,Thomas,50,1,compulsory school,15,3,Generic
1454,Vincent,Allen,41,3,compulsory school,7,7,Worker
1455,Emily,Johnston,41,1,compulsory school,7,20,Worker
1456,Derek,Andrews,49,2,high school diploma,15,12,Economic
1457,Henry,Howard,42,3,compulsory school,3,7,Worker
1458,Lily,Barnes,47,3,high school diploma,12,9,Worker
1459,Catherine,Ross,45,1,high school diploma,20,1,Generic
1460,Naomi,Hill,41,0,high school diploma,3,9,Worker
1461,Rebecca,Carroll,47,1,Ph.D,15,5,healthcare
1462,Jessica,Nelson,46,1,compulsory school,5,0,Generic
1463,Bruce,Kelley,44,1,high school diploma,15,3,Economic
1464,Belinda,Spencer,46,3,master,5,3,Economic
1465,Alfred,Thompson,48,3,high school diploma,9,5,Worker
1466,Dexter,Johnson,42,1,high school diploma,20,1,Informatics
1467,Kevin,Rogers,49,3,three-year degree,5,5,Economic
1468,Dominik,West,49,3,high school diploma,9,3,Generic
1469,Edgar,Montgomery,48,2,three-year degree,12,15,Economic
1470,Edwin,Robinson,46,3,three-year degree,9,7,Instruction
1471,Alisa,Adams,41,2,high school diploma,9,15,Generic
1472,Catherine,Warren,41,1,high school diploma,12,5,Instruction
1473,Charlotte,Wells,48,3,high school diploma,15,5,Generic
1474,Honey,Montgomery,47,1,Ph.D,15,5,healthcare
1475,Melissa,Miller,43,3,three-year degree,12,7,healthcare
1476,Dominik,Murray,45,0,high school diploma,12,7,Generic
1477,Eleanor,Hunt,46,1,high school diploma,12,7,Informatics
1478,William,Hamilton,45,1,high school diploma,7,9,Generic
1479,Honey,Carroll,50,0,compulsory school,9,12,Generic
1480,Naomi,Gray,41,0,high school diploma,7,7,Economic
1481,Darcy,Ryan,49,2,high school diploma,15,9,Worker
1482,Elise,Jones,40,0,three-year degree,12,1,Informatics
1483,Eddy,Spencer,44,0,high school diploma,9,3,Informatics
1484,Maria,Johnston,49,0,master degree,15,3,healthcare
1485,Grace,Richardson,49,0,three-year degree,0,5,Instruction
1486,Vivian,Kelley,47,1,master,3,3,healthcare
1487,Clark,Murray,45,2,high school diploma,15,15,Generic
1488,James,Carroll,43,0,high school diploma,9,5,Worker
1489,George,Morgan,40,3,high school diploma,15,9,Generic
1490,Alina,Carroll,47,1,high school diploma,15,9,Economic
1491,Aldus,Hill,48,0,high school diploma,15,9,Worker
1492,Aston,Allen,46,1,master degree,20,7,healthcare
1493,Agata,Ferguson,40,1,high school diploma,9,5,Generic
1494,Lucy,Cunningham,45,2,high school diploma,15,7,Generic
1495,Olivia,Bailey,49,1,three-year degree,12,12,Instruction
1496,Miller,Douglas,44,3,high school diploma,12,1,Economic
1497,Aida,Farrell,49,1,high school diploma,9,9,Worker
1498,Edith,Stevens,47,1,high school diploma,12,5,Generic
1499,Rebecca,Stewart,48,0,high school diploma,3,9,Generic
1500,Stuart,Davis,48,2,high school diploma,12,3,Worker
1501,Ned,Nelson,49,1,three-year degree,12,5,Informatics
1502,Stella,Richardson,41,3,high school diploma,12,9,Worker
1503,Charlotte,Walker,50,3,high school diploma,12,9,Economic
1504,Walter,Douglas,40,0,Ph.D,12,15,Informatics
1505,Andrew,Myers,45,0,three-year degree,12,3,Instruction
1506,Reid,Carter,45,0,high school diploma,9,3,Instruction
1507,Adelaide,Tucker,45,0,compulsory school,7,7,Generic
1508,Rubie,Ellis,41,1,compulsory school,12,1,Generic
1509,Lilianna,Johnston,42,3,high school diploma,12,1,Worker
1510,Mike,Watson,49,1,compulsory school,20,1,Generic
1511,David,Warren,47,1,three-year degree,9,3,Informatics
1512,Kristian,Brown,49,0,high school diploma,12,3,Instruction
1513,Rubie,Riley,40,0,three-year degree,12,7,healthcare
1514,Alissa,Mason,42,3,high school diploma,9,12,Generic
1515,Alford,Bennett,43,3,compulsory school,12,5,Generic
1516,Cherry,Anderson,46,0,high school diploma,9,1,Generic
1517,Alissa,Owens,49,3,high school diploma,12,9,Generic
1518,Sofia,Harris,49,1,high school diploma,15,3,Generic
1519,Lana,Foster,44,2,high school diploma,15,9,Generic
1520,Carlos,Morgan,47,2,three-year degree,7,9,Instruction
1521,Victoria,Kelly,40,3,three-year degree,20,3,Informatics
1522,Albert,Farrell,46,2,Ph.D,5,7,Instruction
1523,Charlotte,Baker,50,1,high school diploma,15,1,Worker
1524,Hailey,Kelly,46,1,high school diploma,9,3,Generic
1525,Daryl,Harris,40,2,high school diploma,20,1,Generic
1526,Adison,Morris,41,3,high school diploma,12,7,Worker
1527,Jack,Perry,44,3,high school diploma,20,5,Generic
1528,Sam,Russell,44,1,high school diploma,12,9,Generic
1529,Aston,Montgomery,46,0,master degree,0,20,Economic
1530,Paul,Harrison,43,1,high school diploma,0,9,Generic
1531,Steven,Williams,50,2,Ph.D,15,9,Informatics
1532,Julian,Jones,47,2,high school diploma,20,7,Generic
1533,Kimberly,Ryan,49,1,high school diploma,12,12,Generic
1534,Kellan,Perkins,46,2,high school diploma,9,15,Generic
1535,Maximilian,Watson,50,1,master degree,9,7,healthcare
1536,Kristian,Farrell,45,2,three-year degree,12,9,healthcare
1537,Annabella,Ellis,47,3,high school diploma,9,3,Generic
1538,Lyndon,Grant,46,2,high school diploma,15,3,Generic
1539,Vincent,Montgomery,43,2,high school diploma,15,3,Generic
1540,Maddie,Higgins,48,3,high school diploma,15,12,Instruction
1541,Lily,Evans,50,3,master degree,12,1,Instruction
1542,Dale,Russell,50,1,high school diploma,20,3,Worker
1543,Maria,Mason,46,0,master,20,9,healthcare
1544,Victor,Baker,44,0,three-year degree,9,15,healthcare
1545,Honey,Anderson,46,1,high school diploma,12,12,Generic
1546,Eric,Craig,40,0,compulsory school,15,9,Worker
1547,Steven,Warren,46,1,master,12,7,Instruction
1548,Rafael,Edwards,47,3,high school diploma,9,3,Generic
1549,Aida,Montgomery,47,0,three-year degree,12,3,Economic
1550,Alissa,Campbell,43,0,high school diploma,0,3,Generic
1551,Abraham,Andrews,48,0,high school diploma,12,7,Generic
1552,Tyler,Roberts,49,1,high school diploma,12,12,Worker
1553,John,Nelson,46,3,three-year degree,9,9,healthcare
1554,Penelope,Cunningham,47,1,master degree,15,9,Instruction
1555,Alfred,Scott,44,0,high school diploma,7,3,Generic
1556,Aiden,Howard,41,3,three-year degree,12,12,Economic
1557,Roland,Payne,46,0,high school diploma,12,3,Informatics
1558,Brad,Hall,44,2,high school diploma,12,15,Generic
1559,Max,Turner,41,0,high school diploma,12,7,Generic
1560,Arnold,Morgan,48,2,three-year degree,7,7,Instruction
1561,Luke,Gray,45,2,high school diploma,12,3,Economic
1562,Cadie,Ryan,44,0,master,12,3,healthcare
1563,Maya,Montgomery,41,2,high school diploma,9,9,Generic
1564,Steven,Gray,43,1,high school diploma,7,5,Instruction
1565,Kevin,Grant,42,2,high school diploma,12,12,Generic
1566,Sabrina,Miller,46,2,three-year degree,20,5,Instruction
1567,Kirsten,Phillips,40,1,high school diploma,7,12,Generic
1568,Kate,Sullivan,47,3,three-year degree,12,9,Informatics
1569,Oliver,Owens,42,3,Ph.D,15,7,healthcare
1570,Antony,Cooper,45,0,high school diploma,15,9,Generic
1571,Sophia,Ross,45,3,high school diploma,3,7,Generic
1572,Melanie,Smith,45,2,compulsory school,5,7,Worker
1573,Valeria,Jones,40,2,high school diploma,12,9,Worker
1574,Daniel,Evans,48,1,high school diploma,9,3,Generic
1575,Camila,Evans,47,2,master degree,9,9,healthcare
1576,Thomas,Brooks,42,1,compulsory school,15,3,Worker
1577,Clark,Dixon,40,0,three-year degree,12,3,Instruction
1578,Adelaide,Clark,43,2,master degree,1,3,Informatics
1579,Haris,Richardson,49,1,high school diploma,20,3,Economic
1580,Cherry,Campbell,43,0,three-year degree,15,5,Economic
1581,Stella,Crawford,49,3,high school diploma,12,15,Generic
1582,Sofia,Phillips,46,0,high school diploma,12,3,Generic
1583,Tiana,Ross,50,2,master,9,7,Informatics
1584,Preston,Parker,47,0,three-year degree,20,9,Instruction
1585,George,Chapman,41,1,high school diploma,12,7,Generic
1586,Roland,Miller,50,2,master degree,15,3,Instruction
1587,James,Ross,48,2,high school diploma,7,5,Worker
1588,Maria,Murphy,43,0,master,0,15,Informatics
1589,George,Jones,42,1,high school diploma,12,5,Generic
1590,John,Morris,46,2,high school diploma,0,12,Informatics
1591,Belinda,Campbell,44,0,high school diploma,15,12,Generic
